treatment company,azimuth,md (ft),tvd (ft),date on production,operator,footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,production
treatment company 7,-44.150002,14768,7922,7/1/2013,operator 4,6376,3954.4011,1.27,11,0,35332.45,0.47,0.02,0.34,0.81,4.65,0.58,13177.63,7045.44,,5711,,97,44,8720932,0.88,2038.709603
treatment company 12,-19.610001,16584,8446,7/1/2014,operator 9,7923,,8.59,5,0,34730.4,0.93,0.05,0.27,0.99,4.81,0.5,11596.11,7047.21,31.19,6147,9489,91,39,10541538,1.09,993.0031844
treatment company 9,-31.5,14664,8489,8/1/2017,operator 6,5925,1862.0977,14.64,6,5156,34705.84,0.47,0.05,0.22,,2.42,0.59,12039.65,6807.38,28.26,5930,,84,41,,1.64,5113.884295
treatment company 7,-16.85,14011,8100,10/1/2015,operator 4,5380,5035.5981,14.18,11,0,30857.3,0.05,,0.34,0.89,,0.77,13091.32,6911.33,30.85,5808,,99,29,7656131,0.77,2247.646504
treatment company 1,-55.75,12402,8443,7/1/2013,operator 26,3966,845.13373,24.18,27,12059,34755.29,0.24,0.03,0.33,,5.11,0.92,12995.64,6973.22,31.54,5690,,93,10,2939467,0.8,786.4869962
treatment company 9,-10.42,11057,6265,7/1/2013,operator 17,4145,2847.6301,0.49,24,14703,34745.94,0.8,0.06,0.26,,5.15,0.44,13239.01,6774.38,27.15,4106,,77,28,4307523,1.13,569.3138327
treatment company 2,-20.040001,15078,5879,2/1/2015,operator 2,8604,699.8468,0.43,32,10231,33143.52,0.47,0.02,0.33,0.89,4.64,0.57,13168.79,7058.84,31.22,,,110,24,14421070,2.22,1293.777093
treatment company 5,-56.200001,17042,7630,1/1/2014,operator 8,9013,,0.66,14,4721,35185.98,0.45,0.01,0.33,0.83,4.75,0.56,13312.97,6994.3,31.01,5565,,80,60,12015000,1.07,1522.073696
treatment company 2,,10218,6389,7/1/2011,operator 2,3703,,4.07,6,2961,28764.37,0.53,,0.33,,4.78,0.41,13451.61,6934,30.82,3493,5654,100,11,4417255,1.48,424.0521037
treatment company 24,-48.290001,10782,6701,7/1/2018,operator 4,3603,755.13428,0.26,25,12410,34633.59,0.64,0.02,0.34,,4.07,0.56,12677.36,6707,30.23,4226,8797,95,18,7658760,1.4,830.215801
treatment company 5,-51.810001,15906,,6/1/2018,operator 11,9337,2786.4678,304.01,1,0,30409.34,0.46,0.02,0.33,,4.68,0.59,13210.48,7036.46,31.15,,,69,46,,1.12,2361.517173
treatment company 10,-16.35,10195,6685,4/1/2018,operator 4,3260,810.07605,11.16,7,4183,29028.88,0.45,0.02,0.33,,4.72,0.58,13284.4,7002.64,31.05,3433,,94,17,,1.28,687.0757836
treatment company 9,-36.07,24912,6468,8/1/2018,operator 11,18208,505.91956,104.71,1,0,35056.46,0.29,0.02,0.33,,4.68,0.63,13203.24,6983.49,31.02,4222,,84,91,27453790,0.88,3207.420275
treatment company 4,-63.150002,13721,6664,6/1/2016,operator 4,3623,1145.7778,141.51,1,0,35153.19,0.53,0.01,0.33,0.86,4.78,0.41,13451.61,6934,30.82,4357,,101,22,5549000,0.97,991.8168128
treatment company 7,-27.25,13440,8870,4/1/2012,operator 11,4255,3615.9873,43.3,5,0,34599.59,0.94,0.05,0.29,,4.27,0.7,11814.56,7090.58,31.82,,,70,15,1744237,0.53,856.517094
treatment company 10,-42.68,9152,6154,1/1/2012,operator 11,2770,938.38153,83.33,3,2766,34111.39,0.26,0.02,0.33,0.88,4.68,0.61,13255.17,6953.57,30.92,3936,5946,69,9,2781614,1.13,247.5099139
treatment company 10,-47.709999,10232,6423,7/1/2013,operator 11,3504,3738.7791,0.18,11,5488,35190.53,0.41,0.02,0.33,,4.78,0.6,13238.79,7142.58,31.35,4333,,70,17,8349601,1.15,679.6426083
treatment company 5,-20.74,12300,7565,7/1/2011,operator 8,4305,3011.3789,12.81,6,9144,31757.82,1.24,0.04,0.32,,4.91,0.97,12591.21,7452.63,32.83,5643,,86,15,2121223,0.38,958.5347519
treatment company 16,,14600,7283,7/1/2012,operator 14,6586,2370.5276,5.22,5,3519,35012.49,0.1,0.02,0.25,0.95,3.77,0.62,11137.39,6786.47,28.24,,7231,80,35,13298793,1.06,8444.751759
treatment company 1,-24.9,15114,6434,4/1/2017,operator 5,8323,1953.6724,8.85,9,2971,28589.71,0.26,0.01,0.34,,4.68,0.62,13263.35,6960.29,30.94,,,78,42,21264292,1.12,2753.767962
treatment company 8,-29.51,12860,6249,4/1/2014,operator 1,6227,1042.677,1.69,13,0,34679.94,0.21,0.01,0.33,0.91,4.88,0.49,13429.59,7097.51,31.18,4487,,82,22,11285435,1.14,768.2413008
treatment company 8,-47.34,10912,6067,1/1/2012,operator 6,4575,1718.3086,11.35,15,0,34642.75,0.06,0.02,0.33,,4.61,0.73,13170.64,6895.76,30.78,5047,,67,13,5676000,1.22,369.4334119
treatment company 3,-36.630001,12532,5981,6/1/2018,operator 1,5993,732.5921,4.66,15,0,32361.66,0.21,0.01,0.33,,4.85,0.33,13349.26,7157.38,31.34,4698,,90,43,21534356,1.85,1402.93369
treatment company 3,-57.77,15020,6266,8/1/2017,operator 8,8247,1190.3782,0.72,2,2825,34261.43,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,,5538,90,42,16568523,1.22,1504.99761
treatment company 2,-33.290001,18895,8044,6/1/2015,operator 6,10601,1552.6783,123.83,1,0,30469.83,0.94,0.07,0.21,0.84,3.2,0.46,11661.99,6810.27,27.94,5832,,87,47,18847346,1.37,3699.152561
treatment company 1,,14855,8105,1/1/2013,operator 20,6064,736.02026,314.32,8,8930,34765.36,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,5321,,84,11,5650875,1.48,1237.400263
treatment company 1,-36.860001,18189,6585,10/1/2017,operator 5,10942,689.04767,14.78,22,12274,34708.68,1.24,,0.34,,3.75,1.8,12457.46,6553.04,29.91,3784,,76,54,8533380,0.39,2158.870388
treatment company 1,-27.02,14080,6956,12/1/2016,operator 8,6426,,1.94,20,7096,33828.42,0.47,0.02,0.33,,4.66,0.58,13184.96,7049.93,31.19,4658,,86,29,11559831,0.76,1666.91744
treatment company 5,-39.990002,16524,,8/1/2018,operator 11,10038,3882.4041,25.52,9,0,35074.06,0.34,0.02,0.33,0.82,4.65,0.59,13166.69,7032.5,31.15,4103,5980,70,51,15192747,0.91,1795.389404
treatment company 16,-27.200001,11811,6241,7/1/2014,operator 14,5219,3202.1626,27.92,3,0,34776.92,0.36,0.03,0.25,0.86,5.15,0.53,12369.97,6781.48,27.38,4837,,80,30,11457679,1.05,2554.089467
treatment company 8,-45.799999,9473,5648,1/1/2016,operator 30,3292,1783.9043,20.42,7,1746,34879.27,0.59,0.02,0.33,0.83,4.56,0.31,13507.64,6877.28,30.66,4485,,87,22,6141882,1.27,565.7296862
treatment company 4,-50.650002,11723,6535,1/1/2013,operator 1,4592,2093.6353,19.33,9,6053,35438.36,0.58,0.02,0.21,,4.47,0.49,13536.45,6797.42,26.22,4730,,99,16,7486965,1.21,1555.761614
treatment company 12,-11.73,13390,8417,1/1/2014,operator 25,4843,940.29767,10.55,2,0,35084.51,1.38,0.09,0.21,0.67,3.87,0.49,12025.9,6821.91,27.83,5809,9356,90,24,11727563,1.18,3313.900726
treatment company 1,-17.52,14921,6375,10/1/2016,operator 2,8341,4777.8975,146.95,0,0,29774.6,1.41,,0.19,0.44,6.41,0.53,11950.22,7018.34,28.23,5045,,86,23,13789190,1.42,1806.092276
treatment company 10,-28.26,10370,6525,7/1/2011,operator 11,3636,2263.1262,17.1,5,5212,29736.88,0.26,0.02,0.33,,4.68,0.61,13255.17,6953.57,30.92,,,69,11,3531429,0.94,715.1025636
treatment company 3,-34.740002,14956,7300,3/1/2019,operator 8,6877,,9.15,12,5082,33696.46,0.31,0.02,0.33,0.8,4.66,0.61,13182.77,7015.94,31.11,5112,8947,80,34,16646094,1.47,2469.849333
treatment company 12,-14.26,13866,8628,7/1/2013,operator 9,4922,707.3999,4.32,4,2505,34727.69,0.9,0.05,0.29,,4.36,0.48,11683.91,7070.63,31.7,6078,,91,18,7014641,1.29,607.2159774
treatment company 24,-32.07,16832,7494,10/1/2018,operator 4,8986,3921.3306,3.96,9,0,29404.23,0.35,0.02,0.33,,4.68,0.61,13203.94,7003.34,31.06,5785,,86,45,20005626,1.28,2677.527552
treatment company 6,-57.84,11229,7402,7/1/2014,operator 14,2691,1566.9513,32.85,11,0,35293.43,0.1,0.02,0.24,,4.22,0.59,11277.18,6790.23,27.87,5674,7053,80,16,6129300,1.08,1690.709877
treatment company 4,-11.28,11380,6655,1/1/2016,operator 4,3952,4159.9019,24.07,6,534,35185.86,0.54,0.02,0.33,,4.44,0.25,13493.47,6853.18,30.59,4371,7625,98,27,6794225,0.98,1053.833259
treatment company 1,-0.19,11623,5944,12/1/2015,operator 1,5256,1386.7273,6.63,10,6433,33757.01,0.35,0.02,0.33,,4.65,0.6,13164.73,7033.62,31.16,3927,,100,10,10066260,1.83,1039.036555
treatment company 12,0.80000001,12286,8279,8/1/2018,operator 25,3327,,16.71,22,8267,33164.9,1.74,0.08,0.25,,3.91,0.6,11468.38,6876.92,28.48,5862,8769,92,19,8372293,1.52,1481.044527
treatment company 12,-31.360001,19966,7852,6/1/2018,operator 4,11488,4029.6738,3.25,20,11182,32152.96,0.17,0.03,0.33,,4.85,0.87,12869.52,6990.64,31.31,4724,,99,41,15598040,1.33,4153.992822
treatment company 9,-17.639999,16070,8395,5/1/2015,operator 11,7225,2996.8362,39.83,11,8248,34771.54,0.88,0.05,0.28,,4.55,0.77,11821.01,7093.07,31.67,6567,,71,41,4680448,1.02,1597.517198
treatment company 9,-15.05,14070,7196,1/1/2015,operator 5,6461,2661.1072,33.34,8,460,35326.04,1.24,0.06,0.34,0.43,4.09,1.79,12377.43,6475.42,,5255,5550,64,33,7864450,0.9,2066.506458
treatment company 3,-49.860001,18867,6361,10/1/2018,operator 1,11415,1154.8275,0.19,9,5536,34589.69,0.29,0.02,0.34,0.8,4.68,0.63,13203.24,6983.49,31.02,4761,,88,64,23425792,1.31,5038.05816
treatment company 8,-17.290001,14515,6210,4/1/2012,operator 6,7712,558.9032,18.9,19,9558,35025.42,0.3,0.02,0.24,0.87,5.11,0.38,12666.11,6785.05,27.15,4114,,72,13,9226919,1.28,1196.98619
treatment company 25,3.3699999,19590,6932,12/1/2017,operator 4,10410,4134.7451,9.13,5,2191,29198.18,1.41,0.05,0.2,0.8,5.17,0.65,12748.89,7064.66,29.37,5407,,94,32,12817632,1.12,1857.675072
treatment company 10,-50.150002,13225,6260,1/1/2015,operator 11,6151,3535.8738,3.91,6,0,34617.29,0.59,0.02,0.34,,4.56,0.31,13507.64,6877.28,30.66,4539,,70,29,14233032,1.14,1009.916439
treatment company 1,-86.389999,13405,8028,1/1/2013,operator 26,4284,997.4184,264.87,1,0,31331.08,0.04,0.03,0.34,,4.62,0.79,13089.28,6883.41,30.76,5426,,99,10,3498780,0.86,1085.165502
treatment company 8,-28.610001,12028,8181,1/1/2012,operator 31,3335,2059.8062,110.43,3,0,34742.11,0.81,0.05,0.34,,,0.55,13187.04,7372.99,33.1,6577,,86,22,4121980,0.85,399.8391053
treatment company 24,-6.0599999,11601,5781,9/1/2018,operator 2,5469,1154.8553,1.51,20,0,34599.59,0.26,0.02,0.33,,4.68,0.61,13239.24,6958.72,30.94,4095,,91,20,9472652,2.17,929.8490335
treatment company 1,-39.639999,15093,6425,11/1/2017,operator 5,8132,1324.2133,1.39,6,4806,29605.94,0.5,0.02,0.33,,4.74,0.6,13275.54,7042.77,31.13,3091,6149,75,38,15464855,1.17,1745.396318
treatment company 9,-20.110001,14425,7071,1/1/2016,operator 16,7104,,6.29,8,6269,35143.87,1.06,0.05,0.34,0.51,3.82,1.64,12576.4,6568.39,29.92,4717,,75,34,6045033,0.63,2106.236789
treatment company 4,-41.84,12240,6648,8/1/2017,operator 14,5342,1515.0177,1.71,11,0,34582.87,0.14,0.02,0.24,,5.08,0.51,11884.85,6784.76,27.55,5197,,110,27,13516393,1.19,6737.666434
treatment company 10,-51.209999,16591,7600,12/1/2017,operator 11,8848,755.51239,1.51,18,0,35169.14,0.6,0.04,0.33,0.85,4.85,0.5,12683.25,7202.9,31.85,5651,6779,70,44,8807216,0.85,3578.857004
treatment company 3,-26.68,16913,6455,3/1/2018,operator 5,10193,3046.6384,8.3,13,5518,32987.99,0.17,0.02,0.33,,4.48,0.52,13346.62,6855.51,30.61,3684,,76,52,25671304,1.08,3474.159355
treatment company 2,-31.82,15515,8262,1/1/2013,operator 20,6760,,25.54,7,2627,34833.46,0.62,,0.33,0.8,4.76,0.46,13487.45,6941.16,30.86,5236,7450,83,11,4117644,1.18,1323.963058
treatment company 1,-26.48,17671,6431,8/1/2018,operator 5,10887,2025.4263,41.29,9,5150,34167.78,1.4,0.05,0.34,0.58,3.61,1.84,12368.37,6546.45,29.92,3995,5323,77,55,21822590,1.01,2351.924399
treatment company 5,-40.369999,14432,7866,7/1/2012,operator 8,6165,738.44275,6.5,11,0,27560.55,0.53,0.01,0.34,0.86,4.75,0.42,13444.71,6925.42,30.8,5506,,71,19,,0.46,1052.004314
treatment company 16,,13735,7123,1/1/2015,operator 14,6362,1087.7366,16.16,6,5201,29237.25,1.02,,0.28,0.7,4.81,0.45,11699.89,6768.05,28.55,5205,,80,30,11432858,0.95,3226.084097
treatment company 9,-50.419998,12407,7238,7/1/2014,operator 14,4672,3016.9063,35.78,2,3071,34069.93,0.91,0.03,0.27,0.72,4.92,0.47,11470.5,6771.83,28.38,4989,,84,20,7256254,1.08,3481.344425
treatment company 10,-48.810001,10406,6859,5/1/2013,operator 11,2818,1937.2744,24.74,6,5072,33743.14,0.57,0.03,0.33,,4.65,0.56,13158.67,7120.98,31.35,,,69,12,,1.1,653.7166002
treatment company 12,-32.23,12023,6048,7/1/2013,operator 7,5597,,10.62,10,472,34661.95,0.31,0.01,0.3,0.89,4.68,0.62,13456.54,6916.17,30.79,4518,,90,37,7985190,1.06,1649.383242
treatment company 26,-18.75,11545,7146,7/1/2013,operator 14,3300,4444.5308,724.05,1,0,34661.95,0.14,0.02,0.24,,4.92,0.56,11517.73,6785.58,27.77,5557,6943,83,20,,1.12,4376.406178
treatment company 10,-30.08,11690,6566,2/1/2013,operator 11,3851,3174.8035,6.76,9,4298,35301.13,0.44,,0.33,,4.74,0.44,13178.65,7185.79,31.46,4157,5752,70,18,5045594,0.94,551.7167452
treatment company 1,-16.18,14541,7922,7/1/2014,operator 25,6287,968.04504,0.51,21,16291,33295.01,0.26,0.03,0.26,,2.54,0.6,11113.49,6783.33,28.7,5847,,90,37,10554243,0.85,2081.978448
treatment company 9,-66.400002,12734,6935,6/1/2016,operator 1,5549,1762.5278,9.48,11,6031,34582.87,0.62,0.01,0.33,,4.91,0.44,13478.62,6953.4,30.86,,,2,19,9545338,1.67,1025.3764
treatment company 12,,12427,5359,11/1/2018,operator 22,6818,2360.1843,19.57,15,0,34784.01,0.54,0.01,0.34,,4.83,0.42,13453.26,6933.44,30.81,4104,,100,35,14847728,1.09,876.2633795
treatment company 12,1.28,12180,6581,7/1/2014,operator 25,4581,896.22321,36.58,5,0,30823.71,0.65,0.02,0.34,,5.14,0.4,13591.62,6954.28,30.84,4318,,89,28,14051449,1.24,1719.503341
treatment company 8,-33.07,13139,7021,1/1/2014,operator 1,5913,4055.5796,32.82,3,0,34546.34,0.61,0.02,0.33,,5.06,0.46,13561.04,6970.84,30.88,4365,,79,23,,1.09,1072.319511
treatment company 12,-23.200001,19466,8988,11/1/2018,operator 25,10482,4185.5156,6.1,6,4061,30034.49,1.41,0.05,0.24,0.93,4.1,0.6,11974.57,6805.45,27.68,4754,,89,59,25893920,1.56,4642.388947
treatment company 8,-39.209999,13216,6341,1/1/2017,operator 26,6333,3785.8442,16.84,7,4143,27656.3,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,4482,6160,98,25,12369844,0.95,467.087435
treatment company 1,-11.12,13021,6033,4/1/2016,operator 11,6738,2764.3838,14.6,12,0,34850.7,0.62,,0.33,,4.85,0.46,13479.49,6980.1,30.95,4048,,70,28,10978129,1.06,758.1048371
treatment company 2,-10.84,12095,5907,1/1/2011,operator 2,5511,947.21307,3.21,15,6596,34748.79,1.19,0.1,0.19,,6.29,0.5,12161.64,7026.79,28.09,4466,,82,16,6460784,1.39,1202.434749
treatment company 1,-55.130001,11881,7041,3/1/2017,operator 1,4300,1779.8655,81.85,8,5519,34636.68,0.49,0.02,0.33,0.86,4.66,0.58,13167.66,7032.46,31.14,5144,,99,21,8327928,1.25,2325.827378
treatment company 3,-17.84,13878,6385,5/1/2016,operator 5,6828,2975.7158,3.22,8,0,35137.85,0.46,0.02,0.33,0.86,4.66,0.58,13182.1,7047.33,31.18,4452,5890,74,34,10224970,0.89,1647.260447
treatment company 12,-17.799999,14350,8961,7/1/2014,operator 25,5268,981.69714,93.68,11,0,30615.06,1.17,0.06,0.22,,4.08,0.67,11903.69,6800.98,27.32,4732,,89,29,14381981,1.17,3666.884738
treatment company 8,-15.81,11559,6544,12/1/2014,operator 4,4765,3827.5212,34.14,10,1739,34776.92,0.29,0.02,0.27,,4.69,0.61,13227.81,6976.93,30.99,,,81,18,7427334,1.17,539.436705
treatment company 2,-34.509998,13373,8496,7/1/2011,operator 20,4543,4113.8159,2.59,19,9760,34556,0.86,0.05,0.28,0.72,4.04,0.51,11741.27,7081.29,31.7,5831,,82,11,4999610,1.34,1497.412558
treatment company 3,-19.93,16792,6398,6/1/2015,operator 5,9882,,172.2,1,5999,29639.34,0.29,0.02,0.33,0.85,4.69,0.6,13239.05,6971.01,30.97,4594,,63,49,10883240,0.83,2540.652486
treatment company 12,-35.02,13521,7989,4/1/2015,operator 27,4907,3467.5396,3.54,8,0,28220.68,0.43,0.01,0.33,,4.72,0.57,13599.66,6944.12,30.83,6252,,90,16,9280475,1.07,1534.320525
treatment company 10,-9.1400003,9602,6519,2/1/2012,operator 11,2735,3961.0837,111.21,3,0,34686.45,0.45,0.02,0.33,,4.72,0.58,13283,7021.17,31.08,,6314,67,9,,0.98,588.3898114
treatment company 8,-25.52,14947,7577,1/1/2017,operator 6,7120,2553.5623,96.91,3,0,27855.58,0.02,0.01,0.24,,3.13,0.63,11159.05,6793.55,28.15,5885,,91,29,11125966,1.74,5741.937639
treatment company 5,-17.969999,13531,7072,9/1/2016,operator 16,6028,3465.697,14.99,7,652,35039.79,1.04,0.05,0.34,,3.83,1.62,12590.12,6568.47,29.92,4555,,75,16,5199151,0.71,1374.034842
treatment company 3,-26.58,13594,6649,3/1/2016,operator 5,6705,662.64197,4.74,10,7201,29933.12,0.52,0.01,0.33,,4.73,0.51,13400.65,6960.89,30.93,4522,5234,72,33,,0.89,1842.594749
treatment company 12,-28.559999,13474,7884,6/1/2017,operator 25,5340,1017.1553,16.96,12,6524,33442.24,0.53,0.01,0.33,,4.78,0.41,13451.61,6934,30.82,4630,,86,27,10320291,1.38,2795.902594
treatment company 5,-24.620001,11206,5511,1/1/2014,operator 15,5251,904.31476,5.71,6,1051,30671.68,0.43,0.02,0.26,0.85,4.68,0.58,13182.01,7011.47,31.09,2225,,92,15,5237694,1.39,695.823792
treatment company 8,-24.9,11807,7767,9/1/2015,operator 26,3340,3152.4065,1.09,4,3055,31199.11,0.47,,0.34,0.8,4.66,0.58,13199.38,7044.85,31.17,5740,7726,88,14,5405191,0.96,694.1552417
treatment company 12,-26.709999,13578,7085,10/1/2017,operator 25,6243,2914.2017,40.04,7,5532,31803.97,1.46,0.02,0.24,0.94,4.12,0.37,12300.28,6845.28,28.3,,,97,35,10592295,1.27,2015.587568
treatment company 9,-20.719999,16435,8122,7/1/2012,operator 17,8035,4401.0117,13.61,11,0,35165.63,0.02,0.02,0.25,0.97,1.87,0.64,11173.29,6791.1,28.56,5783,,76,27,,0.46,1307.905998
treatment company 10,-37.209999,15667,6894,11/1/2017,operator 4,8270,685.91138,14.37,7,5158,27589.48,0.31,0.01,0.33,0.85,4.69,0.61,13250.88,6972.71,30.98,4649,,91,41,13519020,1.25,2327.256242
treatment company 9,-66.629997,10939,6242,12/1/2012,operator 13,3884,,11.84,7,0,35351.96,0.51,0.01,0.33,0.87,4.74,0.32,13664.56,6920.97,30.74,4582,6170,81,15,4207985,0.77,374.9794312
treatment company 3,-51,13272,6251,9/1/2017,operator 8,6655,1246.2098,5.91,8,3683,34932.97,0.3,0.02,0.33,0.83,4.66,0.61,13178.24,7013.4,31.11,3841,,92,34,,1.41,1772.86068
treatment company 3,-36.990002,12583,6540,1/1/2018,operator 1,5635,844.1153,0.94,10,0,35186.69,0.43,0.02,0.33,,4.72,0.59,13263.02,7033.37,31.11,5247,,100,28,11292590,1.46,3006.496402
treatment company 3,-50.880001,10306,6747,12/1/2016,operator 1,3289,993.43024,18.09,15,0,34614.25,1.1,,0.29,0.69,4.97,0.44,12290.63,6765.05,28.26,4875,6253,99,16,6415504,1.27,1421.590873
treatment company 10,-39.009998,12089,7010,2/1/2013,operator 14,4151,4281.6543,0.99,7,0,34559,0.43,0.02,0.33,0.83,4.67,0.59,13187.05,7005.78,31.07,4964,6440,80,24,9062149,1.03,5008.133639
treatment company 3,-44.869999,16485,6288,4/1/2015,operator 8,9829,3879.5593,1.01,6,447,28411.17,0.29,0.02,0.33,,4.68,0.63,13203.24,6983.49,31.02,3866,6301,83,31,18531036,1.04,1806.121456
treatment company 8,-17.139999,13090,7609,7/1/2014,operator 6,5231,3717.3142,26.4,11,0,34679.94,0.42,0.05,0.22,,3.5,0.53,11381.72,6802.82,27.87,5949,,70,27,923116,0.1,4369.212418
treatment company 10,-46.610001,16725,8080,9/1/2018,operator 4,8359,1886.4128,22.65,17,11321,34812.56,0.05,0.03,0.34,,4.63,0.77,13109.57,6900.28,30.81,5598,,99,43,19231664,1.38,2685.366122
treatment company 10,-64.650002,10676,6212,3/1/2015,operator 11,3693,1014.4839,8.52,3,805,34833.35,0.56,0.01,0.34,,4.75,0.4,13457.7,6923.45,30.79,,,70,18,7145773,1.11,580.0828363
treatment company 10,-38.560001,11537,6046,7/1/2013,operator 11,4753,,10.53,10,5957,34438.02,0.63,0.01,0.33,,4.82,0.38,13487.06,6926.36,30.79,4137,,70,23,10579448,1.13,624.3359115
treatment company 4,-31.5,19040,6582,7/1/2018,operator 5,12076,,21.27,14,6371,35007.5,1.29,,0.34,0.48,3.91,1.9,12358.09,6491.03,29.78,4287,,78,61,24678232,1.13,4525.876657
treatment company 16,,20294,6709,10/1/2015,operator 4,12073,1412.5043,30.65,7,0,34735.75,0.26,,0.33,0.88,4.68,0.61,13239.24,6958.72,30.94,4821,,93,67,22615908,0.91,2641.927052
treatment company 8,-54.639999,13573,8375,6/1/2015,operator 26,4772,3686.8914,0.8,15,5875,32806.21,0.36,0.03,0.32,,5.42,0.87,13049.65,7129.99,32.29,6287,,89,18,6452478,0.97,1006.170124
treatment company 4,-32.23,14861,6708,9/1/2018,operator 8,7699,2231.6389,0.44,16,6483,34812.56,1.19,0.05,0.34,,3.8,1.78,12479.36,6545.93,29.89,3918,6206,95,36,14426403,1.42,2666.898878
treatment company 12,-10.97,13286,9042,7/1/2014,operator 9,2886,1932.2578,14.7,17,7704,34321.42,0.88,0.05,0.28,0.98,4.27,0.47,11609.62,7062.74,31.54,6237,,91,17,4394479,1.07,579.7260114
treatment company 9,-17.780001,15138,6537,12/1/2017,operator 5,8351,831.2641,235.06,3,0,34833.35,0.54,0.01,0.34,,4.77,0.42,13442.71,6930.59,30.81,4134,,77,41,16645460,1.1,2351.324257
treatment company 10,-13.14,12888,7640,7/1/2013,operator 14,4276,2839.2783,15.23,7,4877,27583.7,0.67,0.01,0.28,,3.41,0.54,11260.89,6774.56,28.99,6099,,79,21,7993600,1.05,2431.609485
treatment company 5,-38.299999,10100,7582,7/1/2011,operator 8,2124,4092.6882,9.71,8,8614,34634.34,1.24,0.04,0.32,,4.93,0.97,12592.76,7452.02,32.84,5617,,86,15,1130000,0.39,478.1745175
treatment company 1,-47.060001,12760,7007,6/1/2017,operator 1,5457,965.22162,6.47,12,6463,30777.96,1.2,0.05,0.31,,4.72,0.45,12563.55,6759.34,28.8,4827,6626,100,26,12057942,1.42,2929.769762
treatment company 8,-29.02,12703,6205,12/1/2012,operator 1,5932,,14.5,5,0,34639.91,0.24,0.01,0.33,0.89,4.87,0.51,13413.13,7100.55,31.2,4485,,80,9,,1.39,364.1304722
treatment company 9,-51,12845,6719,10/1/2015,operator 1,5641,2000.3877,9.09,4,4695,29496.23,0.49,0.02,0.33,,4.66,0.59,13170.5,7029.04,31.13,4704,,89,9,9707983,1.65,1740.338768
treatment company 16,,11691,6618,9/1/2015,operator 4,4408,1808.6349,209.38,5,0,30412.25,0.54,0.01,0.33,0.86,4.77,0.42,13442.71,6930.59,30.81,4792,,100,24,7170483,0.93,1427.262603
treatment company 4,-31.209999,15943,9148,1/1/2018,operator 7,6545,1182.1598,6.66,5,0,30692.77,0.65,0.03,0.25,,4.67,0.6,11815.39,7076.35,31.01,6002,,84,34,,1.03,2780.924202
treatment company 10,-21.02,20820,7419,12/1/2018,operator 4,13151,633.22827,9.4,12,0,30743.39,0.74,,0.32,0.77,5.12,0.61,12533.34,7287.32,32.21,5497,9255,99,16,7218224,1.37,1446.991484
treatment company 1,-20.01,14138,6374,1/1/2018,operator 1,6812,2330.6323,39.19,3,0,35162.27,0.17,0.03,0.34,,4.46,0.47,13336.26,6854.63,,,,98,34,13353772,1.3,2138.87184
treatment company 12,-66.510002,12444,5843,7/1/2014,operator 19,5907,797.00183,290.91,1,8278,34775.43,0.55,0.02,0.33,,4.98,0.49,13390.83,6986.34,30.94,,,81,25,,0.74,651.2356618
treatment company 2,-48.709999,14294,8710,7/1/2012,operator 20,5515,1915.2654,6.23,7,0,34770.3,0.68,0.04,0.27,,4.01,0.59,11770.49,7086.21,31.53,5611,,79,10,3571790,1.06,1490.614707
treatment company 10,-14.27,11276,5915,7/1/2015,operator 11,5111,2133.6248,402.79,1,0,30254.81,0.05,0.02,0.33,,4.66,0.67,13160.78,6912.23,30.8,4486,,71,21,6148504,0.93,866.0650242
treatment company 5,-25.459999,21514,6911,2/1/2019,operator 11,13344,,6.18,23,10831,33446.01,0.63,0.01,0.33,,4.82,0.38,13487.06,6926.36,30.79,4989,,80,67,13353837,0.79,3575.037996
treatment company 10,-43.73,11539,7571,7/1/2017,operator 11,3718,1026.9476,42.31,27,10759,34285.15,0.53,0.04,0.33,,4.8,0.6,12688.94,7181.78,31.85,4739,,70,19,5687669,1.1,1937.647336
treatment company 1,-48.48,12667,6714,10/1/2017,operator 1,5529,1052.818,10.64,3,2575,34564.91,0.59,0.02,0.34,,4.56,0.31,13507.64,6877.28,30.66,4552,,99,36,10940004,1.23,2943.45403
treatment company 9,-31.870001,15970,6436,9/1/2018,operator 11,8935,603.01831,2.69,8,0,35167.84,0.28,,0.33,,4.67,0.62,13186.82,7008.4,31.09,3857,5972,83,45,13525335,0.93,1397.581639
treatment company 8,-20.629999,14368,8116,1/1/2012,operator 2,5942,1413.6931,6.5,16,0,34781.88,1.94,0.19,0.2,,5.14,0.76,11529.82,7142.4,29.66,5932,,66,15,4249796,0.94,803.1606739
treatment company 10,-65.389999,9678,,7/1/2013,operator 11,3020,1934.0277,3.12,17,7606,32165.87,0.45,0.01,0.33,0.85,4.8,0.46,13386.02,6917.09,30.79,4034,,70,15,7221107,1.13,374.0373534
